title,author,genre,description
Cottonwood,['Kathleen Cain'],['Nature'],"And so poet and naturalist Kathleen Cain fell in love with the cottonwood tree. Regarded by many as a nuisance, a ""trash tree,"" the cottonwood not only has a fascinating..."
The Christmas Letters,['Lee Smith'],['Fiction'],"In The Christmas Letters, three generations of women reveal their stories of love and marriage in the letters they write to family and friends during the holidays. It's a down-home..."
"Bioelectronics Handbook: MOSFETs, Biosensors, and Neurons","['Massimo Grattarola', 'Giuseppe Massobrio', 'Paolo Antognetti']",['Technology & Engineering'],Here is the first introduction to the fast-growing field of bioelectronics - the comparative study phenomena and mechanisms in biology and electronics. This unique handbook deals with the design of...
Garden's Corner: A Novel,['Douglas S. Reed'],['Fiction'],"Little Speedy Copeland leaves Brooklyn to search for, and make peace with, his best friend after Jamal unexpectedly leaves the city while Speedy is recovering from a violent episode which..."
One Fucking Move/Book and Record,['Ray Bradbury'],['Fiction'],"A totalitarian regime has ordered all books to be destroyed, but one of the book burners suddenly realizes their merit."
Encounter Near Venus,['Leonard Wibberley'],['Science fiction'],Four children are delighted when their supposedly dull uncle turns out to be a space swinger who treats them to an interplanetary journey.
Mother Angelica,['Raymond Arroyo'],['Religion'],"A portrait of Mother Angelica describes the influential nun's youth, her dedication to a cloistered order of Franciscan nuns, and her creation of the powerful, multimillion-dollar Eternal World Television Network...."
Atlas Shrugged (2-volume set),['Ayn Rand'],['Fiction'],"Peopled by larger-than-life heroes and villains, charged with towering questions of good and evil, Atlas Shrugged is Ayn Rand’s magnum opus: a philosophical revolution told in the form of an..."
A Tale of the Western Plains,"['G. A. Henty', 'Alfred Pearse']",['Juvenile Fiction'],"In 1859, sixteen-year-old Hugh travels from England to the American West and finds work on a cattle ranch, where he struggles with the elements, fights Indians, and chases kidnappers."
College Preparatory Mathematics 2: Units 0-6,Unknown,['Education'],"Contains information on a variety of subjects within the field of education statistics, including the number of schools and colleges, enrollments, teachers, graduates, educational attainment, finances, Federal funds for education,..."
"Piper: A Model Genus for Studies of Phytochemistry, Ecology, and Evolution","['Lee A. Dyer', 'Aparna Palmer']",['Medical'],"Piper is an economically and ecologically important genus of plant that includes a fascinating array of species for studying natural history, natural products chemistry, community ecology, and evolutionary biology. The..."
Arms and Armour,['R. Ewart Oakeshott'],['History'],British arthority on medieval weapons surveys European arms and armor from the Bronze Age to the time of triumph of gunpowder.
Wine Atlas of New Zealand,['Michael Cooper'],['Viticulture'],A comprehensive guide to New Zealand's wine regions and vineyards
The Chronicles of Alexander: Land of Eternal Darkness,"['S. M. Bradley', 'Sean Burgoon']",['Juvenile Fiction'],"Bradley tells the tale of a young boy whose dreams of high adventure come true, much to his own chagrin. Only time will tell if Alex can find a way..."
"Paris--la Defense: L'art contemporain et l'axe historique : Magdalena Abakanowicz, Piotr Kowalski, Jean-Pierre Raynaud, Alan Sonfist (French Edition)","['Blanca Fernández Quesada', 'Jesús-Pedro Lorente']",['Art'],"Este libro es fruto de un seminario internacional que tuvo lugar en mayo de 2008. Pero sus contenidos no son exactamente las actas de aquel evento, pues en el tiempo..."
Learning and Growing Together: Understanding and Supporting Your Child's Development,"['Claire Lerner', 'Amy Laura Dombro']",['Family & Relationships'],"Contains several tip sheets, giving child-care professionals ideas for putting Learning & Growing Together concepts into practice to improve their program's and staff's ability to support families. Each tip sheet..."
DAMRON MEN'S GUIDE 2000- P (Travel Guide),['Gina M. Gatta'],['Travel'],"The Damron Men's Travel Guide 2004 proves that some things really do improve with age. With the release of this historic 39th edition, the perennial best-selling gay travel guide has..."
A Seal Called Andre,"['Harry Goodridge', 'Lew Dietz']",['Juvenile Nonfiction'],"Tells the true story of the unique human-animal friendship between Harry Goodridge and Andre, the harbor seal who was as comfortable in Goodridge’s home as he was in Penobscot Bay...."
Fundamentals of Acoustics,"['Lawrence E. Kinsler', 'Austin R. Frey', 'Alan B. Coppens', 'James V. Sanders']",['Science'],"The classic acoustics reference! This widely-used book offers a clear treatment of the fundamental principles underlying the generation, transmission, and reception of acoustic waves and their application to numerous fields...."
Magic of Believing,"['Claudie Bristol', 'SBP Editors']",['Self-Help'],"Have you ever known someone who expects the best of every situation and always seems to get it? That, according to author Claude Bristol, is the magic of believing. This..."
"Too Close, Too Soon (Cassette)",['Ken Forsse'],['Flying-machines'],"In this adventure, children learn the importance of safety and taking care of themselves."
"Lectures to My Students (Series 1, 2, 3 Revised)",['Charles H. Spurgeon'],['Religion'],"One contemporary scholar and authority on Spurgeon says of this work: ""Next to Mr. Spurgeon's great literary work, The Treasury of David, we consider (these) Lectures to My Students his..."
Interview With The Vampire,['Anne Rice'],['Fiction'],"Recounting his first two hundred years of life, a vampire tells of his erotic alliance with Claudia, whose passions are forever locked up in the body of a child"
My Drowning,['Jim Grimsley'],['Fiction'],A portrait of an aging woman attempting to sort out her life against the backdrop of the second World War finds Ellen Tote wondering about the recurring dream she has...
Living in Space (Usborne Beginners),['Katie Daynes'],General,How do astronauts travel into space? Where do they live when they get there? What do they do all day? In this book youâ€™ll find the answers and lots more...
Techniques of the World's Great Painters (A QED book),['Waldemar Januszczak'],['Painting'],Giotto Duccio de Buoninsegna. Jan van Eyck. Piero della Francesca. Leonardo da Vinci. Hieronymous Bosch. Titian. Nicholas Hilliard; Caravaggio. El Greco. Diego Velazquez. Peter Paul Rubens. Rembrant van Rijn. Jan...
Christology in the Making: A New Testament Inquiry Into the Origins of the Doctrine of the Incarnation,['James D. G. Dunn'],['Religion'],This excellent study of the origins and early development of Christology by James D. G. Dunn clarifies in rich detail the beginnings of the full Christian belief in Christ as...
A Year With Swollen Appendices: Brian Eno's Diary,['Brian Eno'],['Biography & Autobiography'],The diary and essays of Brian Eno republished twenty-five years on with a new introduction by the artist in a beautiful hardback edition. 'A cranium tour of one of the...
Crypto: How the Code Rebels Beat the Government--Saving Privacy in the Digital Age,['Steven Levy'],['Computers'],"If you've ever made a secure purchase with your credit card over the Internet, then you have seen cryptography, or ""crypto"", in action. From Stephen Levy—the author who made ""hackers""..."
Basic Trauma Life Support for Advanced Providers (5th Edition),Unknown,['Medical'],"Prehospital Trauma Life Support (PHTLS)revised reprint, is a unique, continuing education program that directly addresses trauma issues in the prehospital environment. Following the publication cycle of ATLS (Advanced Trauma Life..."
"Social Work in the Health Field: A Care Perspective, Second Edition",['Lois A Cowles'],['Medical'],"Use your social work skills to advocate for more effective health care! Social Work in the Health Field: A Care Perspective, Second Edition updates this comprehensive guide to social work..."
Death of a Dissident,"['Alex Goldfarb', 'Marina Litvinenko']",['Social Science'],"The first reports seemed absurd. A Russian dissident, formerly an employee of the KGB and its successor, the FSB, had seemingly been poisoned in a London hotel. As Alexander Litvinenko's..."
Midnighters #1: The Secret Hour,['Scott Westerfeld'],['Juvenile Fiction'],"the darklings will hunt once again The secret hour when time freezes arrives every night at midnight in Bixby, Oklahoma. It's a dangerous time, when five teenagers are the only..."
The Capacitor Handbook: A Comprehensive Guide For Correct Component Selection In All Circuit Applications. Know What To Use When And Where.,['Cletus J. Kaiser'],['Education'],"This book provides practical guidance and application information when using capacitors in electronics and electrical circuit design. This easy-to-use book covers the following capacitor types: Ceramic, Plastic Film, Aluminum Electrolytic,..."
"Paula Deen & Friends: Living It Up, Southern Style",['Paula Deen'],['Cooking'],"Beloved Food Network personality, restaurateur, and author Paula Deen loves a party, and in her latest book, Paula Deen Celebrates!, Paula shares with fans old and new how she celebrates..."
Galilee,"['David A. Fiensy', 'James Riley Strange']",['Religion'],"This first of two volumes on ancient Galilee provides general surveys of modern studies of Galilee and of Galilean history followed by specialized studies on taxation, ethnicity, religious practices, road..."
"Where Heaven and Earth Touch, Book 3",['Danny Siegel'],General,Signed by the author.
The Lazarus Tree (Thorndike British Favorites),['Duane Schultz'],['Psychology'],"A History of Modern Psychology, 3rd Edition discusses the development and decline of schools of thought in modern psychology. The book presents the continuing refinement of the tools, techniques, and..."
A French Song Companion,"['Graham Johnson', 'Richard Stokes']",['Language Arts & Disciplines'],A French Song Companion is an indispensable guide to the modern repertoire and the most comprehensive book of French mélodie in any language. Noted accompanist Graham Johnson provides repertoire guides...
Le Secret De LA Salamandre (French Edition),['Ann Miller'],['Education'],"The increasing popularity of bande dessinee, or French-language comic strip, means that it is being established on university syllabuses worldwide. Reading Bande Dessinee provides a thorough introduction to the medium..."
Faith Beyond Reason,['A. W. Tozer'],['Religion'],"Faith Beyond Reason, a book by A.W. Tozer, is a compilation of sermons on the book of John. It is within this series of sermons that you will find A.W...."
Taste the Earth: a collision of cultures,['Bill Redstreake'],['Social Science'],"With an underlying emphasis on the cultural diversities of forgotten people in North America's ebullient past, Taste the Earth is a fast-paced story of life, love, lust, loyalty, brutality, and..."
Bathwater's Hot (Nursery collection),['Shirley Hughes'],['Juvenile Nonfiction'],A little girl discovers that all things have an opposite.
The Book of Intentions,['Dianne Martin'],['Self-Help'],"An easy-to-use resource written in stanza form, this guide teaches readers how to create intentions that will produce desired changes in family, work, leisure time, and spiritual life."
Cheaper By the Dozen,['Nat Reed'],['Education'],"In this State Standards-aligned Literature Kit™, we divide the novel by chapters or sections and feature reading comprehension and vocabulary questions. In every chapter, we include Before You Read and..."
"Tales from the night rainbow =: Moolelo o na po makole : the story of a woman, a people, and an island : an oral history of Kailiohe Kameekua of Kamalo, Molokai, 1816-1931",['Wade Graham'],['History'],Braided Waters sheds new light on the relationship between environment and society by charting the history of Hawaii’s Molokai island over a thousand-year period of repeated settlement. From the arrival...
"City of Dreams (!Hero Series, Book 1)",['Better Hero Army'],['Juvenile Fiction'],"Tiffany Noboru has just awakened from her death, only to discover she has been drafted into the Gargoyle Ghost Hunter Corps. Soon she is fighting jealous rivalries within her own..."
Modern Philosophy,"['A. P. Martinich', 'Fritz Allhoff', 'Anand Jayprakash Vaidya']",['Philosophy'],"Part of the Blackwell Readings in the History of Philosophy series, this survey of early modern philosophy focuses on the key texts and philosophers of the period whose beliefs changed..."
"Explorers of Gor (The Saga of Tarl Cabot, No.13)",['John Norman'],General,John Norman's epic Gorean Saga is one of the longest-running and most successful series in the history of fantasy. It is also one of the most controversial. Over the course...
Two Dimensional Spline Interpolation Algorithms,['Helmuth Späth'],['Computers'],"These volumes present a practical introduction to computing spline functions, the fundamental tools for fitting curves and surfaces in computer-aided deisgn (CAD) and computer graphics."
Wings of Flesh,['Cathrina Constantine'],General,"An Angel. A Witch. A Demon. And A Choice. Creatures from outer realms suck, as any gatekeeper worth their salt will tell you. Welcome to Rogan's life, an orphaned seventeen-year-old..."
The Flash MX Project (Voices),['Cheryl Brumbaugh-Duncan'],['Computers'],This book is broken up into a collection of hands-on seminars that each focus on teaching a specific aspect of Flash MX. The author begins each seminar by teaching core...
Harlequin and The Gift of Many Colors,"['Remy Charlip', 'Burton Supree']",['Carnival'],"Due to the generosity of his friends, Harlequin gets a new patchwork suit for Carnival."
Facing Death: Welcoming the Afterlife,['Stephen Knapp'],"['Body, Mind & Spirit']","This book is provided to relieve anyone of the fear that often accompanies the thought of death, and to supply a means to more clearly understand the purpose of it..."
Errors in the Script: Sewanee Writers Conference Series (Sewanee Writers' Series),['Greg Williamson'],['Poetry'],"The poet's latest collection probes issues of knowledge, memory, nature, and the artist's life, among other important topics."
Batman: Evolution (No Man's Land),['Mark D. White'],['Philosophy'],"Batman has been one of the world’s most beloved superheroes since his first appearance in Detective Comics #27 in 1939. Clad in his dark cowl and cape, he has captured..."
The Game of Silence (Ala Notable Children's Books. Middle Readers),['Louise Erdrich'],['Juvenile Fiction'],"Living with her family on an island in Lake Superior during the mid-1800s, a young Ojibwe girl, living a quiet and happy life with her family, begins to fear for..."
WOODROW WILSON,['John Milton Cooper'],['Biography & Autobiography'],"Evaluates the parallel worlds of the twenty-eighth president's personal and political arenas, examining his World War I leadership, his failed efforts to bring the United States into the League of..."
